"";"x"
"7887";-92,114
"7888";-92,113
"7889";-92,112
"7890";-92,111
"7891";-92,11
"7892";-92,109
"7893";-92,108
"7894";-92,107
"7895";-92,106
"7896";-92,105
"7897";-92,104
"7898";-92,103
"7899";-92,102
"7900";-92,101
"7901";-92,1
"7902";-92,099
"7903";-92,098
"7904";-92,097
"7905";-92,096
"7906";-92,095
"7907";-92,094
"7908";-92,093
"7909";-92,092
"7910";-92,091
"7911";-92,09
"7912";-92,089
"7913";-92,088
"7914";-92,087
"7915";-92,086
"7916";-92,085
"7917";-92,084
"7918";-92,083
"7919";-92,082
"7920";-92,081
"7921";-92,08
"7922";-92,079
"7923";-92,078
"7924";-92,077
"7925";-92,076
"7926";-92,075
"7927";-92,074
"7928";-92,073
"7929";-92,072
"7930";-92,071
"7931";-92,07
"7932";-92,069
"7933";-92,068
"7934";-92,067
"7935";-92,066
"7936";-92,065
"7937";-92,064
"7938";-92,063
"7939";-92,062
"7940";-92,061
"7941";-92,06
"7942";-92,059
"7943";-92,058
"7944";-92,057
"7945";-92,056
"7946";-92,055
"7947";-92,054
"7948";-92,053
"7949";-92,052
"7950";-92,051
"7951";-92,05
"7952";-92,049
"7953";-92,048
"7954";-92,047
"7955";-92,046
"7956";-92,045
"7957";-92,044
"7958";-92,043
"7959";-92,042
"7960";-92,041
"7961";-92,04
"7962";-92,039
"7963";-92,038
"7964";-92,037
"7965";-92,036
"7966";-92,035
"7967";-92,034
"7968";-92,033
"7969";-92,032
"7970";-92,031
"7971";-92,03
"7972";-92,029
"7973";-92,028
"7974";-92,027
"7975";-92,026
"7976";-92,025
"7977";-92,024
"7978";-92,023
"7979";-92,022
"7980";-92,021
"7981";-92,02
"7982";-92,019
"7983";-92,018
"7984";-92,017
"7985";-92,016
"7986";-92,015
"7987";-92,014
"7988";-92,013
"7989";-92,012
"7990";-92,011
"7991";-92,01
"7992";-92,009
"7993";-92,008
"7994";-92,007
"7995";-92,006
"7996";-92,005
"7997";-92,004
"7998";-92,003
"7999";-92,002
"8000";-92,001
"8001";-92
"8002";-91,999
"8003";-91,998
"8004";-91,997
"8005";-91,996
"8006";-91,995
"8007";-91,994
"8008";-91,993
"8009";-91,992
"8010";-91,991
"8011";-91,99
"8012";-91,989
"8013";-91,988
"8014";-91,987
"8015";-91,986
"8016";-91,985
"8017";-91,984
"8018";-91,983
"8019";-91,982
"8020";-91,981
"8021";-91,98
"8022";-91,979
"8023";-91,978
"8024";-91,977
"8025";-91,976
"8026";-91,975
"8027";-91,974
"8028";-91,973
"8029";-91,972
"8030";-91,971
"8031";-91,97
"8032";-91,969
"8033";-91,968
"8034";-91,967
"8035";-91,966
"8036";-91,965
"8037";-91,964
"8038";-91,963
"8039";-91,962
"8040";-91,961
"8041";-91,96
"8042";-91,959
"8043";-91,958
"8044";-91,957
"8045";-91,956
"8046";-91,955
"8047";-91,954
"8048";-91,953
"8049";-91,952
"8050";-91,951
"8051";-91,95
"8052";-91,949
"8053";-91,948
"8054";-91,947
"8055";-91,946
"8056";-91,945
"8057";-91,944
"8058";-91,943
"8059";-91,942
"8060";-91,941
"8061";-91,94
"8062";-91,939
"8063";-91,938
"8064";-91,937
"8065";-91,936
"8066";-91,935
"8067";-91,934
"8068";-91,933
"8069";-91,932
"8070";-91,931
"8071";-91,93
"8072";-91,929
"8073";-91,928
"8074";-91,927
"8075";-91,926
"8076";-91,925
"8077";-91,924
"8078";-91,923
"8079";-91,922
"8080";-91,921
"8081";-91,92
"8082";-91,919
"8083";-91,918
"8084";-91,917
"8085";-91,916
"8086";-91,915
"8087";-91,914
"8088";-91,913
"8089";-91,912
"8090";-91,911
"8091";-91,91
"8092";-91,909
"8093";-91,908
"8094";-91,907
"8095";-91,906
"8096";-91,905
"8097";-91,904
"8098";-91,903
"8099";-91,902
"8100";-91,901
"8101";-91,9
"8102";-91,899
"8103";-91,898
"8104";-91,897
"8105";-91,896
"8106";-91,895
"8107";-91,894
"8108";-91,893
"8109";-91,892
"8110";-91,891
"8111";-91,89
"8112";-91,889
"8113";-91,888
"8114";-91,887
"8115";-91,886
"8116";-91,885
"8117";-91,884
"8118";-91,883
"8119";-91,882
"8120";-91,881
"8121";-91,88
"8122";-91,879
"8123";-91,878
"8124";-91,877
"8125";-91,876
"8126";-91,875
"8127";-91,874
"8128";-91,873
"8129";-91,872
"8130";-91,871
"8131";-91,87
"8132";-91,869
"8133";-91,868
"8134";-91,867
"8135";-91,866
"8136";-91,865
"8137";-91,864
"8138";-91,863
"8139";-91,862
"8140";-91,861
"8141";-91,86
"8142";-91,859
"8143";-91,858
"8144";-91,857
"8145";-91,856
"8146";-91,855
"8147";-91,854
"8148";-91,853
"8149";-91,852
"8150";-91,851
"8151";-91,85
"8152";-91,849
"8153";-91,848
"8154";-91,847
"8155";-91,846
"8156";-91,845
"8157";-91,844
"8158";-91,843
"8159";-91,842
"8160";-91,841
"8161";-91,84
"8162";-91,839
"8163";-91,838
"8164";-91,837
"8165";-91,836
"8166";-91,835
"8167";-91,834
"8168";-91,833
"8169";-91,832
"8170";-91,831
"8171";-91,83
"8172";-91,829
"8173";-91,828
"8174";-91,827
"8175";-91,826
"8176";-91,825
"8177";-91,824
"8178";-91,823
"8179";-91,822
"8180";-91,821
"8181";-91,82
"8182";-91,819
"8183";-91,818
"8184";-91,817
"8185";-91,816
"8186";-91,815
"8187";-91,814
"8188";-91,813
"8189";-91,812
"8190";-91,811
"8191";-91,81
"8192";-91,809
"8193";-91,808
"8194";-91,807
"8195";-91,806
"8196";-91,805
"8197";-91,804
"8198";-91,803
"8199";-91,802
"8200";-91,801
"8201";-91,8
"8202";-91,799
"8203";-91,798
"8204";-91,797
"8205";-91,796
"8206";-91,795
"8207";-91,794
"8208";-91,793
"8209";-91,792
"8210";-91,791
"8211";-91,79
"8212";-91,789
"8213";-91,788
"8214";-91,787
"8215";-91,786
"8216";-91,785
"8217";-91,784
"8218";-91,783
"8219";-91,782
"8220";-91,781
"8221";-91,78
"8222";-91,779
"8223";-91,778
"8224";-91,777
"8225";-91,776
"8226";-91,775
"8227";-91,774
"8228";-91,773
"8229";-91,772
"8230";-91,771
"8231";-91,77
"8232";-91,769
"8233";-91,768
"8234";-91,767
"8235";-91,766
"8236";-91,765
"8237";-91,764
"8238";-91,763
"8239";-91,762
"8240";-91,761
"8241";-91,76
"8242";-91,759
"8243";-91,758
"8244";-91,757
"8245";-91,756
"8246";-91,755
"8247";-91,754
"8248";-91,753
"8249";-91,752
"8250";-91,751
"8251";-91,75
"8252";-91,749
"8253";-91,748
"8254";-91,747
"8255";-91,746
"8256";-91,745
"8257";-91,744
"8258";-91,743
"8259";-91,742
"8260";-91,741
"8261";-91,74
"8262";-91,739
"8263";-91,738
"8264";-91,737
"8265";-91,736
"8266";-91,735
"8267";-91,734
"8268";-91,733
"8269";-91,732
"8270";-91,731
"8271";-91,73
"8272";-91,729
"8273";-91,728
"8274";-91,727
"8275";-91,726
"8276";-91,725
"8277";-91,724
"8278";-91,723
"8279";-91,722
"8280";-91,721
"8281";-91,72
"8282";-91,719
"8283";-91,718
"8284";-91,717
"8285";-91,716
"8286";-91,715
"8287";-91,714
"8288";-91,713
"8289";-91,712
"8290";-91,711
"8291";-91,71
"8292";-91,709
"8293";-91,708
"8294";-91,707
"8295";-91,706
"8296";-91,705
"8297";-91,704
"8298";-91,703
"8299";-91,702
"8300";-91,701
"8301";-91,7
"8302";-91,699
"8303";-91,698
"8304";-91,697
"8305";-91,696
"8306";-91,695
"8307";-91,694
"8308";-91,693
"8309";-91,692
"8310";-91,691
"8311";-91,69
"8312";-91,689
"8313";-91,688
"8314";-91,687
"8315";-91,686
"8316";-91,685
"8317";-91,684
"8318";-91,683
"8319";-91,682
"8320";-91,681
"8321";-91,68
"8322";-91,679
"8323";-91,678
"8324";-91,677
"8325";-91,676
"8326";-91,675
"8327";-91,674
"8328";-91,673
"8329";-91,672
"8330";-91,671
"8331";-91,67
"8332";-91,669
"8333";-91,668
"8334";-91,667
"8335";-91,666
"8336";-91,665
"8337";-91,664
"8338";-91,663
"8339";-91,662
"8340";-91,661
"8341";-91,66
"8342";-91,659
"8343";-91,658
"8344";-91,657
"8345";-91,656
"8346";-91,655
"8347";-91,654
"8348";-91,653
"8349";-91,652
"8350";-91,651
"8351";-91,65
"8352";-91,649
"8353";-91,648
"8354";-91,647
"8355";-91,646
"8356";-91,645
"8357";-91,644
"8358";-91,643
"8359";-91,642
"8360";-91,641
"8361";-91,64
"8362";-91,639
"8363";-91,638
"8364";-91,637
"8365";-91,636
"8366";-91,635
"8367";-91,634
"8368";-91,633
"8369";-91,632
"8370";-91,631
"8371";-91,63
"8372";-91,629
"8373";-91,628
"8374";-91,627
"8375";-91,626
"8376";-91,625
"8377";-91,624
"8378";-91,623
"8379";-91,622
"8380";-91,621
"8381";-91,62
"8382";-91,619
"8383";-91,618
"8384";-91,617
"8385";-91,616
"8386";-91,615
"8387";-91,614
"8388";-91,613
"8389";-91,612
"8390";-91,611
"8391";-91,61
"8392";-91,609
"8393";-91,608
"8394";-91,607
"8395";-91,606
"8396";-91,605
"8397";-91,604
"8398";-91,603
"8399";-91,602
"8400";-91,601
"8401";-91,6
"8402";-91,599
"8403";-91,598
"8404";-91,597
"8405";-91,596
"8406";-91,595
"8407";-91,594
"8408";-91,593
"8409";-91,592
"8410";-91,591
"8411";-91,59
"8412";-91,589
"8413";-91,588
"8414";-91,587
"8415";-91,586
"8416";-91,585
"8417";-91,584
"8418";-91,583
"8419";-91,582
"8420";-91,581
"8421";-91,58
"8422";-91,579
"8423";-91,578
"8424";-91,577
"8425";-91,576
"8426";-91,575
"8427";-91,574
"8428";-91,573
"8429";-91,572
"8430";-91,571
"8431";-91,57
"8432";-91,569
"8433";-91,568
"8434";-91,567
"8435";-91,566
"8436";-91,565
"8437";-91,564
"8438";-91,563
"8439";-91,562
"8440";-91,561
"8441";-91,56
"8442";-91,559
"8443";-91,558
"8444";-91,557
"8445";-91,556
"8446";-91,555
"8447";-91,554
"8448";-91,553
"8449";-91,552
"8450";-91,551
"8451";-91,55
"8452";-91,549
"8453";-91,548
"8454";-91,547
"8455";-91,546
"8456";-91,545
"8457";-91,544
"8458";-91,543
"8459";-91,542
"8460";-91,541
"8461";-91,54
"8462";-91,539
"8463";-91,538
"8464";-91,537
"8465";-91,536
"8466";-91,535
"8467";-91,534
"8468";-91,533
"8469";-91,532
"8470";-91,531
"8471";-91,53
"8472";-91,529
"8473";-91,528
"8474";-91,527
"8475";-91,526
"8476";-91,525
"8477";-91,524
"8478";-91,523
"8479";-91,522
"8480";-91,521
"8481";-91,52
"8482";-91,519
"8483";-91,518
"8484";-91,517
"8485";-91,516
"8486";-91,515
"8487";-91,514
"8488";-91,513
"8489";-91,512
"8490";-91,511
"8491";-91,51
"8492";-91,509
"8493";-91,508
"8494";-91,507
"8495";-91,506
"8496";-91,505
"8497";-91,504
"8498";-91,503
"8499";-91,502
"8500";-91,501
"8501";-91,5
"8502";-91,499
"8503";-91,498
"8504";-91,497
"8505";-91,496
"8506";-91,495
"8507";-91,494
"8508";-91,493
"8509";-91,492
"8510";-91,491
"8511";-91,49
"8512";-91,489
"8513";-91,488
"8514";-91,487
"8515";-91,486
"8516";-91,485
"8517";-91,484
"8518";-91,483
"8519";-91,482
"8520";-91,481
"8521";-91,48
"8522";-91,479
"8523";-91,478
"8524";-91,477
"8525";-91,476
"8526";-91,475
"8527";-91,474
"8528";-91,473
"8529";-91,472
"8530";-91,471
"8531";-91,47
"8532";-91,469
"8533";-91,468
"8534";-91,467
"8535";-91,466
"8536";-91,465
"8537";-91,464
"8538";-91,463
"8539";-91,462
"8540";-91,461
"8541";-91,46
"8542";-91,459
"8543";-91,458
"8544";-91,457
"8545";-91,456
"8546";-91,455
"8547";-91,454
"8548";-91,453
"8549";-91,452
"8550";-91,451
"8551";-91,45
"8552";-91,449
"8553";-91,448
"8554";-91,447
"8555";-91,446
"8556";-91,445
"8557";-91,444
"8558";-91,443
"8559";-91,442
"8560";-91,441
"8561";-91,44
"8562";-91,439
"8563";-91,438
"8564";-91,437
"8565";-91,436
"8566";-91,435
"8567";-91,434
"8568";-91,433
"8569";-91,432
"8570";-91,431
"8571";-91,43
"8572";-91,429
"8573";-91,428
"8574";-91,427
"8575";-91,426
"8576";-91,425
"8577";-91,424
"8578";-91,423
"8579";-91,422
"8580";-91,421
"8581";-91,42
"8582";-91,419
"8583";-91,418
"8584";-91,417
"8585";-91,416
"8586";-91,415
"8587";-91,414
"8588";-91,413
"8589";-91,412
"8590";-91,411
"8591";-91,41
"8592";-91,409
"8593";-91,408
"8594";-91,407
"8595";-91,406
"8596";-91,405
"8597";-91,404
"8598";-91,403
"8599";-91,402
"8600";-91,401
"8601";-91,4
"8602";-91,399
"8603";-91,398
"8604";-91,397
"8605";-91,396
"8606";-91,395
"8607";-91,394
"8608";-91,393
"8609";-91,392
"8610";-91,391
"8611";-91,39
"8612";-91,389
"8613";-91,388
"8614";-91,387
"8615";-91,386
"8616";-91,385
"8617";-91,384
"8618";-91,383
"8619";-91,382
"8620";-91,381
"8621";-91,38
"8622";-91,379
"8623";-91,378
"8624";-91,377
"8625";-91,376
"8626";-91,375
"8627";-91,374
"8628";-91,373
"8629";-91,372
"8630";-91,371
"8631";-91,37
"8632";-91,369
"8633";-91,368
"8634";-91,367
"8635";-91,366
"8636";-91,365
"8637";-91,364
"8638";-91,363
"8639";-91,362
"8640";-91,361
"8641";-91,36
"8642";-91,359
"8643";-91,358
"8644";-91,357
"8645";-91,356
"8646";-91,355
"8647";-91,354
"8648";-91,353
"8649";-91,352
"8650";-91,351
"8651";-91,35
"8652";-91,349
"8653";-91,348
"8654";-91,347
"8655";-91,346
"8656";-91,345
"8657";-91,344
"8658";-91,343
"8659";-91,342
"8660";-91,341
"8661";-91,34
"8662";-91,339
"8663";-91,338
"8664";-91,337
"8665";-91,336
"8666";-91,335
"8667";-91,334
"8668";-91,333
"8669";-91,332
"8670";-91,331
"8671";-91,33
"8672";-91,329
"8673";-91,328
"8674";-91,327
"8675";-91,326
"8676";-91,325
"8677";-91,324
"8678";-91,323
"8679";-91,322
"8680";-91,321
"8681";-91,32
"8682";-91,319
"8683";-91,318
"8684";-91,317
"8685";-91,316
"8686";-91,315
"8687";-91,314
"8688";-91,313
"8689";-91,312
"8690";-91,311
"8691";-91,31
"8692";-91,309
"8693";-91,308
"8694";-91,307
"8695";-91,306
"8696";-91,305
"8697";-91,304
"8698";-91,303
"8699";-91,302
"8700";-91,301
"8701";-91,3
"8702";-91,299
"8703";-91,298
"8704";-91,297
"8705";-91,296
"8706";-91,295
"8707";-91,294
"8708";-91,293
"8709";-91,292
"8710";-91,291
"8711";-91,29
"8712";-91,289
"8713";-91,288
"8714";-91,287
"8715";-91,286
"8716";-91,285
"8717";-91,284
"8718";-91,283
"8719";-91,282
"8720";-91,281
"8721";-91,28
"8722";-91,279
"8723";-91,278
"8724";-91,277
"8725";-91,276
"8726";-91,275
"8727";-91,274
"8728";-91,273
"8729";-91,272
"8730";-91,271
"8731";-91,27
"8732";-91,269
"8733";-91,268
"8734";-91,267
"8735";-91,266
"8736";-91,265
"8737";-91,264
"8738";-91,263
"8739";-91,262
"8740";-91,261
"8741";-91,26
"8742";-91,259
"8743";-91,258
"8744";-91,257
"8745";-91,256
"8746";-91,255
"8747";-91,254
"8748";-91,253
"8749";-91,252
"8750";-91,251
"8751";-91,25
"8752";-91,249
"8753";-91,248
"8754";-91,247
"8755";-91,246
"8756";-91,245
"8757";-91,244
"8758";-91,243
"8759";-91,242
"8760";-91,241
"8761";-91,24
"8762";-91,239
"8763";-91,238
"8764";-91,237
"8765";-91,236
"8766";-91,235
"8767";-91,234
"8768";-91,233
"8769";-91,232
"8770";-91,231
"8771";-91,23
"8772";-91,229
"8773";-91,228
"8774";-91,227
"8775";-91,226
"8776";-91,225
"8777";-91,224
"8778";-91,223
"8779";-91,222
"8780";-91,221
"8781";-91,22
"8782";-91,219
"8783";-91,218
"8784";-91,217
"8785";-91,216
"8786";-91,215
"8787";-91,214
"8788";-91,213
"8789";-91,212
"8790";-91,211
"8791";-91,21
"8792";-91,209
"8793";-91,208
"8794";-91,207
"8795";-91,206
"8796";-91,205
"8797";-91,204
"8798";-91,203
"8799";-91,202
"8800";-91,201
"8801";-91,2
"8802";-91,199
"8803";-91,198
"8804";-91,197
"8805";-91,196
"8806";-91,195
"8807";-91,194
"8808";-91,193
"8809";-91,192
"8810";-91,191
"8811";-91,19
"8812";-91,189
"8813";-91,188
"8814";-91,187
"8815";-91,186
"8816";-91,185
"8817";-91,184
"8818";-91,183
"8819";-91,182
"8820";-91,181
"8821";-91,18
"8822";-91,179
"8823";-91,178
"8824";-91,177
"8825";-91,176
"8826";-91,175
"8827";-91,174
"8828";-91,173
"8829";-91,172
"8830";-91,171
"8831";-91,17
"8832";-91,169
"8833";-91,168
"8834";-91,167
"8835";-91,166
"8836";-91,165
"8837";-91,164
"8838";-91,163
"8839";-91,162
"8840";-91,161
"8841";-91,16
"8842";-91,159
"8843";-91,158
"8844";-91,157
"8845";-91,156
"8846";-91,155
"8847";-91,154
"8848";-91,153
"8849";-91,152
"8850";-91,151
"8851";-91,15
"8852";-91,149
"8853";-91,148
"8854";-91,147
"8855";-91,146
"8856";-91,145
"8857";-91,144
"8858";-91,143
"8859";-91,142
"8860";-91,141
"8861";-91,14
"8862";-91,139
"8863";-91,138
"8864";-91,137
"8865";-91,136
"8866";-91,135
"8867";-91,134
"8868";-91,133
"8869";-91,132
"8870";-91,131
"8871";-91,13
"8872";-91,129
"8873";-91,128
"8874";-91,127
"8875";-91,126
"8876";-91,125
"8877";-91,124
"8878";-91,123
"8879";-91,122
"8880";-91,121
"8881";-91,12
"8882";-91,119
"8883";-91,118
"8884";-91,117
"8885";-91,116
"8886";-91,115
"8887";-91,114
"8888";-91,113
"8889";-91,112
"8890";-91,111
"8891";-91,11
"8892";-91,109
"8893";-91,108
"8894";-91,107
"8895";-91,106
"8896";-91,105
"8897";-91,104
"8898";-91,103
"8899";-91,102
"8900";-91,101
"8901";-91,1
"8902";-91,099
"8903";-91,098
"8904";-91,097
"8905";-91,096
"8906";-91,095
"8907";-91,094
"8908";-91,093
"8909";-91,092
"8910";-91,091
"8911";-91,09
"8912";-91,089
"8913";-91,088
"8914";-91,087
"8915";-91,086
"8916";-91,085
"8917";-91,084
"8918";-91,083
"8919";-91,082
"8920";-91,081
"8921";-91,08
"8922";-91,079
"8923";-91,078
"8924";-91,077
"8925";-91,076
"8926";-91,075
"8927";-91,074
"8928";-91,073
"8929";-91,072
"8930";-91,071
"8931";-91,07
"8932";-91,069
"8933";-91,068
"8934";-91,067
"8935";-91,066
"8936";-91,065
"8937";-91,064
"8938";-91,063
"8939";-91,062
"8940";-91,061
"8941";-91,06
"8942";-91,059
"8943";-91,058
"8944";-91,057
"8945";-91,056
"8946";-91,055
"8947";-91,054
"8948";-91,053
"8949";-91,052
"8950";-91,051
"8951";-91,05
"8952";-91,049
"8953";-91,048
"8954";-91,047
"8955";-91,046
"8956";-91,045
"8957";-91,044
"8958";-91,043
"8959";-91,042
"8960";-91,041
"8961";-91,04
"8962";-91,039
"8963";-91,038
"8964";-91,037
"8965";-91,036
"8966";-91,035
"8967";-91,034
"8968";-91,033
"8969";-91,032
"8970";-91,031
"8971";-91,03
"8972";-91,029
"8973";-91,028
"8974";-91,027
"8975";-91,026
"8976";-91,025
"8977";-91,024
"8978";-91,023
"8979";-91,022
"8980";-91,021
"8981";-91,02
"8982";-91,019
"8983";-91,018
"8984";-91,017
"8985";-91,016
"8986";-91,015
"8987";-91,014
"8988";-91,013
"8989";-91,012
"8990";-91,011
"8991";-91,01
"8992";-91,009
"8993";-91,008
"8994";-91,007
"8995";-91,006
"8996";-91,005
"8997";-91,004
"8998";-91,003
"8999";-91,002
"9000";-91,001
"9001";-91
"9002";-90,999
"9003";-90,998
"9004";-90,997
"9005";-90,996
"9006";-90,995
"9007";-90,994
"9008";-90,993
"9009";-90,992
"9010";-90,991
"9011";-90,99
"9012";-90,989
"9013";-90,988
"9014";-90,987
"9015";-90,986
"9016";-90,985
"9017";-90,984
"9018";-90,983
"9019";-90,982
"9020";-90,981
"9021";-90,98
"9022";-90,979
"9023";-90,978
"9024";-90,977
"9025";-90,976
"9026";-90,975
"9027";-90,974
"9028";-90,973
"9029";-90,972
"9030";-90,971
"9031";-90,97
"9032";-90,969
"9033";-90,968
"9034";-90,967
"9035";-90,966
"9036";-90,965
"9037";-90,964
"9038";-90,963
"9039";-90,962
"9040";-90,961
"9041";-90,96
"9042";-90,959
"9043";-90,958
"9044";-90,957
"9045";-90,956
"9046";-90,955
"9047";-90,954
"9048";-90,953
"9049";-90,952
"9050";-90,951
"9051";-90,95
"9052";-90,949
"9053";-90,948
"9054";-90,947
"9055";-90,946
"9056";-90,945
"9057";-90,944
"9058";-90,943
"9059";-90,942
"9060";-90,941
"9061";-90,94
"9062";-90,939
"9063";-90,938
"9064";-90,937
"9065";-90,936
"9066";-90,935
"9067";-90,934
"9068";-90,933
"9069";-90,932
"9070";-90,931
"9071";-90,93
"9072";-90,929
"9073";-90,928
"9074";-90,927
"9075";-90,926
"9076";-90,925
"9077";-90,924
"9078";-90,923
"9079";-90,922
"9080";-90,921
"9081";-90,92
"9082";-90,919
"9083";-90,918
"9084";-90,917
"9085";-90,916
"9086";-90,915
"9087";-90,914
"9088";-90,913
"9089";-90,912
"9090";-90,911
"9091";-90,91
"9092";-90,909
"9093";-90,908
"9094";-90,907
"9095";-90,906
"9096";-90,905
"9097";-90,904
"9098";-90,903
"9099";-90,902
"9100";-90,901
"9101";-90,9
"9102";-90,899
"9103";-90,898
"9104";-90,897
"9105";-90,896
"9106";-90,895
"9107";-90,894
"9108";-90,893
"9109";-90,892
"9110";-90,891
"9111";-90,89
"9112";-90,889
"9113";-90,888
"9114";-90,887
"9115";-90,886
"9116";-90,885
"9117";-90,884
"9118";-90,883
"9119";-90,882
"9120";-90,881
"9121";-90,88
"9122";-90,879
"9123";-90,878
"9124";-90,877
"9125";-90,876
"9126";-90,875
"9127";-90,874
"9128";-90,873
"9129";-90,872
"9130";-90,871
"9131";-90,87
"9132";-90,869
"9133";-90,868
"9134";-90,867
"9135";-90,866
"9136";-90,865
"9137";-90,864
"9138";-90,863
"9139";-90,862
"9140";-90,861
"9141";-90,86
"9142";-90,859
"9143";-90,858
"9144";-90,857
"9145";-90,856
"9146";-90,855
"9147";-90,854
"9148";-90,853
"9149";-90,852
"9150";-90,851
"9151";-90,85
"9152";-90,849
"9153";-90,848
"9154";-90,847
"9155";-90,846
"9156";-90,845
"9157";-90,844
"9158";-90,843
"9159";-90,842
"9160";-90,841
"9161";-90,84
"9162";-90,839
"9163";-90,838
"9164";-90,837
"9165";-90,836
"9166";-90,835
"9167";-90,834
"9168";-90,833
"9169";-90,832
"9170";-90,831
"9171";-90,83
"9172";-90,829
"9173";-90,828
"9174";-90,827
"9175";-90,826
"9176";-90,825
"9177";-90,824
"9178";-90,823
"9179";-90,822
"9180";-90,821
"9181";-90,82
"9182";-90,819
"9183";-90,818
"9184";-90,817
"9185";-90,816
"9186";-90,815
"9187";-90,814
"9188";-90,813
"9189";-90,812
"9190";-90,811
"9191";-90,81
"9192";-90,809
"9193";-90,808
"9194";-90,807
"9195";-90,806
"9196";-90,805
"9197";-90,804
"9198";-90,803
"9199";-90,802
"9200";-90,801
"9201";-90,8
"9202";-90,799
"9203";-90,798
"9204";-90,797
"9205";-90,796
"9206";-90,795
"9207";-90,794
"9208";-90,793
"9209";-90,792
"9210";-90,791
"9211";-90,79
"9212";-90,789
"9213";-90,788
"9214";-90,787
"9215";-90,786
"9216";-90,785
"9217";-90,784
"9218";-90,783
"9219";-90,782
"9220";-90,781
"9221";-90,78
"9222";-90,779
"9223";-90,778
"9224";-90,777
"9225";-90,776
"9226";-90,775
"9227";-90,774
"9228";-90,773
"9229";-90,772
"9230";-90,771
"9231";-90,77
"9232";-90,769
"9233";-90,768
"9234";-90,767
"9235";-90,766
"9236";-90,765
"9237";-90,764
"9238";-90,763
"9239";-90,762
"9240";-90,761
"9241";-90,76
"9242";-90,759
"9243";-90,758
"9244";-90,757
"9245";-90,756
"9246";-90,755
"9247";-90,754
"9248";-90,753
"9249";-90,752
"9250";-90,751
"9251";-90,75
"9252";-90,749
"9253";-90,748
"9254";-90,747
"9255";-90,746
"9256";-90,745
"9257";-90,744
"9258";-90,743
"9259";-90,742
"9260";-90,741
"9261";-90,74
"9262";-90,739
"9263";-90,738
"9264";-90,737
"9265";-90,736
"9266";-90,735
"9267";-90,734
"9268";-90,733
"9269";-90,732
"9270";-90,731
"9271";-90,73
"9272";-90,729
"9273";-90,728
"9274";-90,727
"9275";-90,726
"9276";-90,725
"9277";-90,724
"9278";-90,723
"9279";-90,722
"9280";-90,721
"9281";-90,72
"9282";-90,719
"9283";-90,718
"9284";-90,717
"9285";-90,716
"9286";-90,715
"9287";-90,714
"9288";-90,713
"9289";-90,712
"9290";-90,711
"9291";-90,71
"9292";-90,709
"9293";-90,708
"9294";-90,707
"9295";-90,706
"9296";-90,705
"9297";-90,704
"9298";-90,703
"9299";-90,702
"9300";-90,701
"9301";-90,7
"9302";-90,699
"9303";-90,698
"9304";-90,697
"9305";-90,696
"9306";-90,695
"9307";-90,694
"9308";-90,693
"9309";-90,692
"9310";-90,691
"9311";-90,69
"9312";-90,689
"9313";-90,688
"9314";-90,687
"9315";-90,686
"9316";-90,685
"9317";-90,684
"9318";-90,683
"9319";-90,682
"9320";-90,681
"9321";-90,68
"9322";-90,679
"9323";-90,678
"9324";-90,677
"9325";-90,676
"9326";-90,675
"9327";-90,674
"9328";-90,673
"9329";-90,672
"9330";-90,671
"9331";-90,67
"9332";-90,669
"9333";-90,668
"9334";-90,667
"9335";-90,666
"9336";-90,665
"9337";-90,664
"9338";-90,663
"9339";-90,662
"9340";-90,661
"9341";-90,66
"9342";-90,659
"9343";-90,658
"9344";-90,657
"9345";-90,656
"9346";-90,655
"9347";-90,654
"9348";-90,653
"9349";-90,652
"9350";-90,651
"9351";-90,65
"9352";-90,649
"9353";-90,648
"9354";-90,647
"9355";-90,646
"9356";-90,645
"9357";-90,644
"9358";-90,643
"9359";-90,642
"9360";-90,641
"9361";-90,64
"9362";-90,639
"9363";-90,638
"9364";-90,637
"9365";-90,636
"9366";-90,635
"9367";-90,634
"9368";-90,633
"9369";-90,632
"9370";-90,631
"9371";-90,63
"9372";-90,629
"9373";-90,628
"9374";-90,627
"9375";-90,626
"9376";-90,625
"9377";-90,624
"9378";-90,623
"9379";-90,622
"9380";-90,621
"9381";-90,62
"9382";-90,619
"9383";-90,618
"9384";-90,617
"9385";-90,616
"9386";-90,615
"9387";-90,614
"9388";-90,613
"9389";-90,612
"9390";-90,611
"9391";-90,61
"9392";-90,609
"9393";-90,608
"9394";-90,607
"9395";-90,606
"9396";-90,605
"9397";-90,604
"9398";-90,603
"9399";-90,602
"9400";-90,601
"9401";-90,6
"9402";-90,599
"9403";-90,598
"9404";-90,597
"9405";-90,596
"9406";-90,595
"9407";-90,594
"9408";-90,593
"9409";-90,592
"9410";-90,591
"9411";-90,59
"9412";-90,589
"9413";-90,588
"9414";-90,587
"9415";-90,586
"9416";-90,585
"9417";-90,584
"9418";-90,583
"9419";-90,582
"9420";-90,581
"9421";-90,58
"9422";-90,579
"9423";-90,578
"9424";-90,577
"9425";-90,576
"9426";-90,575
"9427";-90,574
"9428";-90,573
"9429";-90,572
"9430";-90,571
"9431";-90,57
"9432";-90,569
"9433";-90,568
"9434";-90,567
"9435";-90,566
"9436";-90,565
"9437";-90,564
"9438";-90,563
"9439";-90,562
"9440";-90,561
"9441";-90,56
